date,tf,USdollar,volume,big_wallets_whales,CPE_GAP,price
2023-01-01,1D,94.2,28500,1842,-0.023,28750
2023-01-02,1D,93.8,31200,1856,0.015,29120
2023-01-03,1D,92.5,34500,1872,-0.008,29840
2023-01-04,1D,91.7,39800,1895,0.032,30580
2023-01-05,1D,93.2,27600,1823,-0.041,27960
2023-01-06,1D,92.9,30100,1841,0.007,28990
2023-01-07,1D,91.4,36700,1882,0.026,30210
2023-01-08,1D,90.8,41200,1915,-0.018,31570
2023-01-09,1D,92.6,29400,1834,0.019,29340
2023-01-10,1D,93.5,26800,1812,-0.035,27580
2023-01-11,1D,91.9,35400,1867,0.011,29990
2023-01-12,1D,90.5,42800,1932,0.042,32450
2023-01-13,1D,92.8,28800,1838,-0.029,28210
2023-01-14,1D,92.1,32500,1853,0.008,29560
2023-01-15,1D,91.2,38900,1898,-0.015,30890
2023-01-16,1D,93.7,27100,1821,0.037,28670
2023-01-17,1D,94.1,25900,1805,-0.024,27340
2023-01-18,1D,92.3,33600,1871,0.013,30120
2023-01-19,1D,91.6,37600,1889,0.028,31280
2023-01-20,1D,93.9,26300,1816,-0.033,26990
2023-01-21,1D,92.7,30900,1849,0.005,29750
2023-01-22,1D,91.1,40100,1907,-0.021,31940
2023-01-23,1D,90.3,44500,1952,0.048,33560
2023-01-24,1D,92.4,31800,1857,0.002,29420
2023-01-25,1D,93.6,25400,1808,-0.039,26680
2023-01-26,1D,91.8,36200,1876,0.022,30470
2023-01-27,1D,90.9,39400,1901,-0.012,31780
2023-01-28,1D,92.0,32900,1862,0.031,29890
2023-01-29,1D,93.3,24200,1799,-0.027,25840
2023-01-30,1D,91.5,38300,1892,0.014,31050
