Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0,146,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,No,2500,1844,109,360,1,Urban,Y
LP001028,Male,No,0,Graduate,No,3073,0,100,360,1,Urban,Y
LP001029,Female,No,0,Graduate,No,5000,0,133,360,1,Rural,Y
LP001030,Male,Yes,3+,Graduate,No,10000,2000,200,360,1,Rural,N
LP001031,Male,Yes,1,Graduate,No,3833,0,95,360,1,Urban,Y
LP001032,Male,Yes,0,Graduate,No,4000,0,130,360,1,Urban,Y
LP001034,Male,Yes,0,Graduate,No,2583,2358,120,360,1,Urban,Y
LP001036,Male,Yes,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001038,Female,No,0,Graduate,No,2333,0,95,360,1,Rural,Y
LP001041,Male,Yes,1,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001043,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001046,Male,Yes,2,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001047,Female,No,0,Graduate,No,3200,0,70,360,1,Urban,Y
LP001050,Male,Yes,2,Graduate,No,2500,1844,109,360,1,Urban,Y
LP001052,Male,No,0,Graduate,No,3073,0,100,360,1,Urban,Y
LP001055,Female,No,0,Graduate,No,5000,0,133,360,1,Rural,Y
LP001057,Male,Yes,3+,Graduate,No,10000,2000,200,360,1,Rural,N
LP001059,Male,Yes,1,Graduate,No,3833,0,95,360,1,Urban,Y
LP001061,Male,Yes,0,Graduate,No,4000,0,130,360,1,Urban,Y
LP001065,Female,No,1,Graduate,No,16666,0,400,360,1,Semiurban,Y
LP001066,Male,Yes,2,Not Graduate,No,15833,4583,380,360,1,Rural,N
LP001068,Female,No,0,Graduate,Yes,8333,0,200,360,1,Urban,Y
LP001069,Male,No,0,Graduate,No,6250,0,150,360,1,Semiurban,Y
LP001071,Female,Yes,1,Graduate,No,6250,2917,187,360,1,Urban,Y
LP001073,Male,Yes,2,Graduate,No,5417,4196,267,360,1,Urban,Y
LP001075,Female,No,0,Not Graduate,No,2083,0,50,360,1,Rural,Y
LP001076,Male,Yes,0,Graduate,No,4167,0,104,360,1,Urban,Y
LP001078,Male,No,0,Graduate,No,3750,0,94,360,1,Urban,Y
LP001080,Female,No,0,Graduate,No,2917,0,73,360,1,Semiurban,Y
