movie_id,title,action_score,comedy_score,drama_score,romance_score,horror_score,sci_fi_score,duration_minutes,year,rating,primary_genre
1,Movie_1,0.66,0.67,0.60,0.22,0.25,0.49,141,2006,7.76,comedy
2,Movie_2,0.84,0.40,0.61,0.32,0.17,0.66,131,2015,7.10,action
3,Movie_3,0.53,0.67,0.65,0.60,0.39,0.36,106,2018,8.99,comedy
4,Movie_4,0.89,0.41,0.53,0.19,0.28,0.51,115,2014,6.35,action
5,Movie_5,0.56,0.45,0.35,0.23,0.46,0.72,132,2002,8.32,sci_fi
6,Movie_6,0.45,0.35,0.72,0.68,0.25,0.42,158,1995,5.89,drama
7,Movie_7,0.32,0.78,0.41,0.55,0.18,0.29,124,2019,7.45,comedy
8,Movie_8,0.71,0.28,0.38,0.15,0.81,0.45,142,2008,6.78,horror
9,Movie_9,0.23,0.42,0.85,0.72,0.31,0.19,167,2012,8.21,drama
10,Movie_10,0.68,0.65,0.29,0.41,0.22,0.58,118,2020,7.93,action
11,Movie_11,0.15,0.18,0.32,0.89,0.25,0.11,135,2017,6.54,romance
12,Movie_12,0.82,0.23,0.45,0.12,0.76,0.68,129,2005,7.32,action
13,Movie_13,0.44,0.91,0.38,0.42,0.19,0.33,111,2011,8.67,comedy
14,Movie_14,0.29,0.35,0.78,0.65,0.42,0.27,145,1998,7.14,drama
15,Movie_15,0.58,0.41,0.33,0.28,0.84,0.49,138,2009,6.89,horror
16,Movie_16,0.77,0.52,0.47,0.19,0.35,0.73,126,2016,8.03,sci_fi
17,Movie_17,0.35,0.28,0.81,0.77,0.29,0.22,152,2003,7.58,drama
18,Movie_18,0.63,0.88,0.42,0.51,0.16,0.38,119,2021,8.42,comedy
19,Movie_19,0.91,0.31,0.39,0.14,0.69,0.55,134,2007,6.97,action
20,Movie_20,0.27,0.46,0.74,0.83,0.33,0.25,161,2013,7.76,romance
21,Movie_21,0.52,0.37,0.45,0.26,0.79,0.42,143,2004,6.45,horror
22,Movie_22,0.71,0.59,0.33,0.35,0.24,0.86,128,2010,8.89,sci_fi
23,Movie_23,0.38,0.82,0.49,0.58,0.21,0.31,122,1999,7.21,comedy
24,Movie_24,0.85,0.26,0.52,0.17,0.72,0.61,137,2001,7.08,action
25,Movie_25,0.31,0.39,0.87,0.69,0.38,0.24,155,1996,8.34,drama
26,Movie_26,0.67,0.43,0.28,0.31,0.83,0.47,140,2000,6.72,horror
27,Movie_27,0.49,0.71,0.41,0.46,0.23,0.52,116,1997,7.95,comedy
28,Movie_28,0.78,0.34,0.56,0.21,0.41,0.74,133,1994,8.17,sci_fi
29,Movie_29,0.42,0.29,0.79,0.71,0.35,0.28,149,1993,7.63,drama
30,Movie_30,0.59,0.85,0.36,0.44,0.20,0.39,125,1992,8.56,comedy
31,Movie_31,0.73,0.48,0.44,0.27,0.67,0.53,130,1991,7.29,action
32,Movie_32,0.26,0.33,0.68,0.86,0.30,0.17,159,2022,7.84,romance
33,Movie_33,0.54,0.39,0.51,0.34,0.75,0.44,144,1990,6.91,horror
34,Movie_34,0.81,0.55,0.37,0.38,0.26,0.69,127,1989,8.74,sci_fi
35,Movie_35,0.33,0.76,0.58,0.63,0.22,0.32,121,1988,7.38,comedy
36,Movie_36,0.87,0.30,0.42,0.16,0.64,0.59,136,1987,7.12,action
37,Movie_37,0.28,0.44,0.83,0.78,0.36,0.21,153,1986,8.45,drama
38,Movie_38,0.65,0.62,0.31,0.42,0.19,0.48,117,1985,7.67,comedy
39,Movie_39,0.47,0.27,0.72,0.65,0.43,0.35,146,1984,6.83,drama
40,Movie_40,0.79,0.41,0.46,0.24,0.58,0.64,131,1983,8.28,sci_fi
